label,domain,phylum,class,order,family,genus,species
MJ007-2-barcode68-umi11127bins-ubs-32,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,
MJ030-2-barcode59-umi50732bins-ubs-13,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_597441,Methylophilaceae,Methylotenera_A_557105,Methylotenera_A_557105 versatilis_B
MJ034-1-barcode40-umi18984bins-ubs-21,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter flavus
MK209068,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter_B_493896,Rhodobacter tardus
G902826025,Bacteria,Actinobacteriota,Acidimicrobiia_401430,Acidimicrobiales,SZUA-35,CADEDH01,CADEDH01 sp902826025
MJ032-1-barcode26-umi37798bins-ubs-9,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_28012,Aulosira,Aulosira diplosiphon
MJ030-2-barcode59-umi76314bins-ubs-7,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,VFJQ01,VFJQ01 sp009885995
MJ032-1-barcode26-umi13282bins-ubs-32,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
MJ030-2-barcode58-umi42066bins-ubs-22,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,Lacihabitans soyangensis
KF056993,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Asprobacter,Asprobacter aquaticus
MJ030-2-barcode59-umi28470bins-ubs-24,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae_966727,Terrimonas_942023,
MJ030-2-barcode58-umi103533bins-ubs-3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Aquabacterium_A,Aquabacterium_A pictum
MJ030-2-barcode58-umi75598bins-ubs-7,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,,
MJ030-2-barcode58-umi102901bins-ubs-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola_493969,
MJ030-1-barcode42-umi118053bins-ubs-3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus_B_483718,
MJ010-1-barcode33-umi521bins-ubs-233,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_28012,Anabaena,Anabaena sp000332135
GB-GCA-016794205.1-JAEUIJ010000002.1,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Lacipirellula,
GU295970,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_877923,Flavobacteriaceae,Flavobacterium,Flavobacterium dankookense
AY559428,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter_484283,Porphyrobacter donghaensis
MJ030-2-barcode58-umi92364bins-ubs-4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus_C,Sphingorhabdus_C buctiana
MJ010-1-barcode25-umi117011bins-ubs-5,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Blastocatellaceae_430966,,
MJ032-2-barcode69-umi49925bins-ubs-11,Bacteria,Bdellovibrionota_E,Oligoflexia,Oligoflexales,,,
MF543060,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola_493812,Tabrizicola fusiformis
MJ030-2-barcode58-umi82120bins-ubs-6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Rubrivivax,
G002280885,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504721,Hyphomicrobiaceae,Hyphomicrobium_A,Hyphomicrobium_A sp002279935
LN832063,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501059,Rhizobiaceae_A_501059,Mycoplana_499574,Mycoplana azooxidifex
MJ031-2-barcode58-umi467bins-ubs-506,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
KU055631,Bacteria,Actinobacteriota,Actinomycetia,Sporichthyales,Sporichthyaceae,Longivirga,Longivirga aurantiaca
MJ034-1-barcode33-umi13084bins-ubs-25,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,OLB9,OLB9 sp001567255
MJ030-2-barcode58-umi75999bins-ubs-7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504723,Aestuariivirgaceae,Aestuariivirga,Aestuariivirga litoralis
JX500274,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Xanthobacteraceae_503485,Pseudorhodoplanes,Pseudorhodoplanes sinuspersici
MJ010-2-barcode71-umi52551bins-ubs-11,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_597441,Methylophilaceae,Methylotenera_A_557105,Methylotenera_A_557105 versatilis_B
GB-GCA-016713335.1-JADJPH010000037.1,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,,
MJ034-1-barcode33-umi11315bins-ubs-32,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,,
MJ032-2-barcode69-umi3947bins-ubs-84,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Blastocatellaceae_430966,,
MJ009-1-barcode39-umi51009bins-ubs-7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Flavimaricola,Flavimaricola marinus
MJ031-1-barcode27-umi33340bins-ubs-9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504723,Aestuariivirgaceae,Aestuariivirga,Aestuariivirga litoralis
MJ032-1-barcode26-umi31215bins-ubs-12,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae_966727,Ferruginibacter,
MJ032-1-barcode26-umi60254bins-ubs-4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter_776538,
MJ030-2-barcode59-umi27748bins-ubs-22,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_597441,Methylophilaceae,Methylotenera_A_557637,
MJ034-1-barcode26-umi27120bins-ubs-4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,Terrimicrobium sacchariphilum
MJ030-1-barcode25-umi10318bins-ubs-40,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,,
MJ030-2-barcode58-umi24937bins-ubs-26,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
KJ095109,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Conyzicola_381229,Conyzicola nivalis
MJ030-2-barcode58-umi57852bins-ubs-10,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
MJ031-2-barcode67-umi30463bins-ubs-16,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA11358,WYBW01,WYBW01 sp011525685
RS-GCF-014647815.1-NZ-BMPX01000104.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes lobatus
MJ031-1-barcode27-umi13837bins-ubs-35,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter_776538,
AJ879783,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592524,Burkholderiaceae_A_580492,Polynucleobacter,Polynucleobacter asymbioticus_575095
RS-GCF-016772315.1-NZ-CP053482.1--2,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales_608018,Thiotrichaceae_608018,Thiothrix_606507,Thiothrix fructosivorans
MJ020-2-barcode52-umi9692bins-ubs-61,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_597441,Methylophilaceae,Methylotenera_A_557105,Methylotenera_A_557105 versatilis_B
KC690144,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae_966727,Ferruginibacter,Ferruginibacter yonginensis
MJ030-2-barcode59-umi107473bins-ubs-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Beijerinckiaceae,Rhabdaerophilum,
G002198675,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Kineosporiaceae,R-H-3,R-H-3 sp002198675
G004296775,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,JC017,JC017 sp004296775
MH633716,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Beijerinckiaceae,Bosea,Bosea caraganae
KC222641,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_502138,Devosiaceae,Paradevosia,Paradevosia shaoguanensis
MJ030-2-barcode58-umi108896bins-ubs-3,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA11358,UBA11358,
LC094486,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Aquabacterium_A,Aquabacterium_A pictum
GB-GCA-900465755.1-UBJZ01000036.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501186,Rhizobiaceae_A_501186,,
MJ030-2-barcode58-umi95976bins-ubs-4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Aquincola,Aquincola tertiaricarbonis
MJ030-2-barcode58-umi119635bins-ubs-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504723,Aestuariivirgaceae,Aestuariivirga,Aestuariivirga litoralis
RS-GCF-004959785.1-NZ-SJZH01000033.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola_494022,
RS-GCF-005222805.1-NZ-STGC01000003.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_502138,Devosiaceae,Devosia_A_502124,
RS-GCF-002368195.1-NZ-AP018178.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_28012,Aulosira,Aulosira diplosiphon
MJ032-1-barcode26-umi71196bins-ubs-3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Ideonella_A_591966,
HF544321,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingomonas fonticola
MJ034-1-barcode38-umi15628bins-ubs-18,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Rubrivivax,
GB-GCA-000500915.1-AYNO01000221.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter_B_493776,
JX843738,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504721,Hyphomicrobiaceae,Hyphomicrobium_A,Hyphomicrobium_A aestuarii
RS-GCF-012583295.1-NZ-VIRO01000139.1,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,ZC4RG30,
MJ034-1-barcode32-umi20373bins-ubs-10,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Piscinibacter,
MK272785,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_877923,Flavobacteriaceae,Flavobacterium,Flavobacterium silvisoli
MJ030-1-barcode42-umi73038bins-ubs-6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Hydrogenophaga_590395,
G000428305,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,
MJ020-1-barcode45-umi78741bins-ubs-5,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
G001567185,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae_900466,ELB16-189,ELB16-189 sp001567185
MJ030-2-barcode58-umi89379bins-ubs-5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,,
MJ032-1-barcode26-umi15233bins-ubs-30,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
C1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp.
C3,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,Devosia confluentis
W17,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium rosettiformans
C10,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Unidentified Flavobacteriaceae
C12,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,,Unidentified Chitinophagaceae
C2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas protegens 1
C4,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Arcicella,Arcicella sp.
C5,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium oxydans
C7,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
W6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas protegens 2
C13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Falsiroseomonas,Falsiroseomonas sp.
W15,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,Rhizorhabdus wittichii 2
W7.2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,Rhizorhabdus wittichii 1
W5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas pituitosa 1
W9B,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas pituitosa 2
C11,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Boseaceae,Bosea,Bosea massiliensis
W10,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,,Unidentified Hyphomicrobiales
W7,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium capsici
W8B,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Allorhizobium,Allorhizobium sp. 1
W4,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Allorhizobium,Allorhizobium sp. 2
